Year,index_nsa,"City, State",Population,Violent Crimes,Homicides,Rapes,Assaults,Robberies
1983,49.195,"Boston, MA",566551,11365,90,367,4195,6713
,,,,,,,,
1983,52.83,"Buffalo, NY",360656,3297,43,297,1547,1410
,,,,,,,,
1983,59.48,"Charlotte, NC",323704,4267,44,258,2863,1102
,,,,,,,,
1983,50.465,"Chicago, IL",3021203,39776,729,2246,13330,23471
,,,,,,,,
1983,62.08,"Cincinnati, OH",382373,3339,27,308,1603,1401
,,,,,,,,
1983,58.5825,"Cleveland, OH",571827,7798,148,716,2819,4115
,,,,,,,,
1983,59.7625,"Columbus, OH",561328,4197,74,324,1392,2407
,,,,,,,,
1983,94.7675,"Dallas, TX",998827,11478,268,891,5405,4914
,,,,,,,,
1983,72.3925,"Aurora, CO",172575,1706,12,65,1296,333
,,,,,,,,
1983,72.3925,"Denver, CO",533732,4379,78,430,1947,1924
,,,,,,,,
1983,53.19,"Detroit, MI",1176968,25527,580,1514,6511,16922
,,,,,,,,
1983,92.705,"Arlington, TX",178871,585,7,75,317,186
,,,,,,,,
1983,73.5025,"Fresno, CA",230418,1913,32,172,725,984
,,,,,,,,
1983,39.445,"Honolulu, HI",808092,2136,45,249,599,1243
,,,,,,,,
1983,107.6825,"Houston, TX",1728783,15919,561,1179,3909,10270
,,,,,,,,
1983,61.46,"Indianapolis, IN",463455,4139,56,376,1886,1821
,,,,,,,,
1983,74.615,"Jacksonville, FL",605934,5670,82,411,2889,2288
,,,,,,,,
1983,57.55,"Louisville, KY",,,,,,
,,,,,,,,
1983,69.635,"Memphis, TN",664883,7564,127,763,2181,4493
,,,,,,,,
1983,68.8625,"Miami, FL",374769,9784,144,365,4556,4719
,,,,,,,,
1983,58.0975,"Milwaukee, WI",643473,3720,51,235,1236,2198
,,,,,,,,
1983,68.7925,"Minneapolis, MN",377850,3487,16,316,1154,2001
,,,,,,,,
1983,61.23,"Nashville, TN",465887,3289,81,324,1171,1713
,,,,,,,,
1983,49.395,"Newark, NJ",336016,9327,112,553,3375,5287
,,,,,,,,
1983,56.255,"Oakland, CA",362344,6777,98,478,2912,3289
,,,,,,,,
1983,71.0175,"Omaha, NE",327276,2390,27,157,1584,622
,,,,,,,,
1983,77.0575,"Orlando, FL",142678,2215,14,141,1292,768
,,,,,,,,
1983,54.2275,"Philadelphia, PA",1692364,16973,311,822,5096,10744
,,,,,,,,
1983,79.075,"Mesa, AZ",163310,798,8,36,604,150
,,,,,,,,
1983,79.075,"Phoenix, AZ",843415,5270,83,499,2717,1971
,,,,,,,,
1983,62.0175,"Pittsburgh, PA",426890,5605,42,214,1151,4198
,,,,,,,,
1983,52.0075,"Portland, OR",371706,6879,36,377,3502,2964
,,,,,,,,
1983,57.66,"Raleigh, NC",154482,879,12,46,532,289
,,,,,,,,
1983,60.9525,"Sacramento, CA",293695,3080,52,217,1258,1553
,,,,,,,,
1983,49.3425,"Seattle, WA",514319,4818,61,434,2291,2032
,,,,,,,,
1983,76.6375,"Tampa, FL",299965,5053,58,288,3178,1529
,,,,,,,,
1983,66.34,"Tucson, AZ",361739,2776,26,253,1731,766
,,,,,,,,
1983,99.605,"Tulsa, OK",391101,2404,35,193,1208,968
